rt,response,subj_idx,attention,coherency,prioritization,stimulus,run,_response,id,cpp_peak,cpp_slope,cpp_amplitude,index
0.233677278185496,1.0,017,double,high,no,face,1,0.0,0,-8.079517495614005e-07,-4.303939285510956e-06,2.028026501043827e-06,0.0
0.351817085989751,1.0,016,right,high,yes,face,1,0.0,0,-2.6892820995672867e-07,-3.930257074734746e-06,2.684620597553094e-06,0.0
0.38736478620558,1.0,015,double,high,no,face,1,0.0,0,2.4859081409758998e-06,1.939928099880197e-05,3.3841869665614665e-06,0.0
0.86644942715975,1.0,014,left,high,yes,car,1,1.0,0,3.6378584577316056e-06,-6.139305024005182e-05,-3.439111095384616e-06,0.0
0.389670669532279,1.0,013,double,high,no,face,1,0.0,0,4.9476884666409926e-06,-3.363928367199409e-05,5.700385888831787e-06,0.0
0.392304699351371,1.0,012,right,low,yes,car,1,1.0,0,5.435103651346638e-06,1.4676901987159577e-05,1.494026268631028e-06,0.0
0.748449467582759,1.0,011,double,high,no,face,1,0.0,0,5.727108285496635e-06,-1.8499410614190145e-05,1.0486932675744256e-06,0.0
0.327164166070588,1.0,010,right,high,yes,car,1,1.0,0,6.4031156861107395e-06,6.923536480096095e-05,7.329156760359296e-06,0.0
0.649282929817673,0.0,009,double,low,no,face,1,0.0,0,1.0841895365048324e-06,-1.540928144255275e-05,-1.4655874223189093e-06,0.0
1.18523859619745,1.0,007,double,low,no,face,1,0.0,0,8.207721391677198e-06,2.512099264783285e-06,2.6476961448055974e-06,0.0
0.56546886889555,1.0,006,right,high,yes,face,1,0.0,0,5.018835525466021e-06,3.2670435904362496e-05,2.0586911890664946e-06,0.0
0.370070551794925,0.0,005,right,low,yes,car,1,1.0,0,6.693900693949202e-06,3.180721384535547e-05,3.5731174815236768e-06,0.0
0.572005804366654,0.0,003,right,low,yes,car,1,1.0,0,4.8308667335271155e-06,2.363419079712695e-05,2.1357722168537812e-06,0.0
0.529205722210463,1.0,001,left,high,yes,face,1,0.0,0,8.459091719441568e-06,5.820834255868856e-05,7.559143715311653e-06,0.0
0.355712960343226,1.0,017,double,high,no,face,1,0.0,1,4.661050431546226e-06,3.9525169662267205e-05,4.730148633274454e-07,1.0
0.396259104960336,1.0,016,double,high,no,car,1,1.0,1,9.626338392961534e-06,-8.612897407679941e-08,5.840912293809139e-06,1.0
0.222060742147733,1.0,015,right,high,yes,face,1,0.0,1,3.0706307126850645e-06,-6.345296123391798e-06,4.298038187065468e-06,1.0
1.64950241699717,1.0,014,right,high,yes,car,1,1.0,1,2.2965574793358903e-06,1.4407794566705841e-05,-9.862164312583673e-07,1.0
0.731547229849639,0.0,013,left,low,yes,car,1,1.0,1,3.915475809462413e-06,-2.6012701382777403e-05,1.6577540926578798e-06,1.0
0.478072469095423,0.0,012,double,low,no,car,1,1.0,1,5.019122835331289e-06,-1.1354341552718464e-06,4.649840033959412e-06,1.0
1.01933124346851,1.0,011,right,low,yes,face,1,0.0,1,1.4896281456039085e-06,8.081766629306643e-06,-2.691618088167626e-06,1.0
0.302157648888169,1.0,010,left,low,yes,face,1,0.0,1,5.194377345055324e-06,3.97911194178378e-05,5.146142363932996e-06,1.0
0.676809307446092,1.0,009,left,high,yes,face,1,0.0,1,1.065675860483682e-06,-4.775879184025873e-06,1.5005398529460947e-06,1.0
0.28388568300943,1.0,008,double,low,no,face,1,0.0,1,5.9581335915112625e-06,3.2280029965286175e-05,1.2802226722024505e-06,1.0
0.515192702960121,1.0,007,left,high,yes,car,1,1.0,1,9.963494925790246e-06,-2.030009562251265e-06,6.020712168364554e-06,1.0
0.532897561521168,1.0,006,double,high,no,face,1,0.0,1,5.257918722863466e-06,2.5607125541092384e-05,1.4754530625241079e-06,1.0
0.449900068106217,0.0,005,double,low,no,car,1,1.0,1,5.19777115482856e-06,-7.559472038631653e-06,2.098660486261854e-06,1.0
1.16360500200608,0.0,003,double,low,no,car,1,1.0,1,2.3959585119642627e-06,2.1163968712077822e-06,-4.3942170593025895e-07,1.0
0.519501239605233,1.0,001,double,high,no,car,1,1.0,1,9.903260444015096e-06,-1.5336085413644944e-05,3.820052167739575e-06,1.0
0.416564304148778,1.0,017,double,low,no,face,1,0.0,2,3.090909772144216e-06,2.8355115679940245e-05,9.136448722111457e-07,2.0
0.462630568184977,1.0,016,double,low,no,face,1,0.0,2,6.378006362381782e-06,6.0290162272155234e-05,9.560394314717834e-06,2.0
0.512291728955461,1.0,015,double,high,no,car,1,1.0,2,3.057590226999751e-06,-3.124111518649897e-05,-3.08932647940712e-06,2.0
0.373233867817362,1.0,014,right,high,yes,face,1,0.0,2,5.9728476808763555e-06,-6.848994803608365e-06,5.333183915478914e-06,2.0
0.447749361380374,0.0,013,left,low,yes,car,1,1.0,2,5.500549823794596e-06,2.9420565327558742e-05,5.625306005553142e-06,2.0
0.529506081385989,0.0,012,double,low,no,car,1,1.0,2,8.361764846543665e-06,1.8244900003316245e-05,6.501926549351916e-06,2.0
0.263071666614792,1.0,010,double,high,no,face,1,0.0,2,-3.7509490066905305e-07,3.781775824520961e-05,4.384563582931694e-06,2.0
0.281115914851398,1.0,008,right,high,yes,face,1,0.0,2,3.5981114430102534e-06,5.3378777958771486e-06,1.510165021770111e-06,2.0
0.617357772076502,0.0,007,left,low,yes,car,1,1.0,2,7.03207534467854e-07,9.378584689737947e-05,7.267439175968849e-06,2.0
0.340036828994926,1.0,005,right,low,yes,face,1,0.0,2,7.130866219552234e-06,1.1275424619970802e-05,4.464233972338078e-06,2.0
