response_time,response_corr,subject,attention,coherency,prioritization,category,cpp_peak,cpp_slope,cpp_amplitude
0.387534382825834,1,sub-017,double,low,no,face,7.944772478692946e-06,2.043642493487348e-05,7.322267501340912e-08
0.415070044473396,1,sub-017,left,high,yes,car,7.179565440530755e-07,-1.3881972668391112e-05,-3.502258171024987e-06
0.327713084741845,1,sub-017,double,low,no,face,8.108397588704475e-06,3.692021080181736e-06,5.845993531874394e-06
0.383126229819027,1,sub-017,double,low,no,car,6.572808605402863e-06,4.006389896882521e-05,4.758680681929556e-06
0.54635351516481,1,sub-017,double,low,no,face,7.212171352383058e-06,2.593191432611331e-05,4.162518754590515e-06
0.312655460118549,1,sub-017,left,high,yes,car,1.2445572983394228e-05,0.00010130911187653446,6.384858033799978e-06
0.254758426366607,1,sub-017,double,high,no,face,9.563729934564789e-06,-6.314866566435739e-05,1.40879621208791e-06
0.769026400870644,1,sub-017,double,low,no,face,7.366722214573695e-06,-6.334994048602888e-05,-4.3054242283449335e-06
0.396857735351659,1,sub-017,double,low,no,face,1.1765766821220327e-05,-7.256011257991755e-05,9.693987921506726e-07
0.476888896897435,1,sub-017,left,high,yes,face,100.0,1.8531165046369383e-05,1.869960990932153e-06
0.399481553715304,1,sub-017,double,high,no,car,4.547276961954902e-06,-5.464438472206425e-07,6.975294400655081e-06
0.220013932514121,1,sub-017,double,low,no,car,100.0,6.760249925299196e-05,3.5921558557374385e-06
0.68169049914286,1,sub-017,double,high,no,car,7.71805108603026e-06,6.050332439730668e-05,3.485332141174524e-06
0.291303700199933,1,sub-017,double,high,no,car,3.993234934346475e-06,3.086976718915365e-05,4.6718739709803e-06
0.448532227019314,1,sub-017,double,low,no,face,1.1148784327956595e-05,2.5878800114008235e-06,1.0694626350039873e-05
0.386037391392165,1,sub-017,double,high,no,face,7.609726670912385e-06,4.4900486531616965e-06,2.7359413645634472e-06
1.31424101009907,1,sub-017,left,low,yes,face,1.3685956162935668e-05,4.099950135051195e-05,9.417786564970591e-06
0.450101095324499,0,sub-017,double,high,no,car,7.030185179834451e-06,-4.290887639512219e-06,7.71349782537128e-06
0.367832817297312,1,sub-017,left,high,yes,face,1.1951488886293571e-05,6.953359820465572e-05,8.655551661566904e-06
